Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,STD_datetime,ATD_datetime,STA_datetime,ATA_datetime
,2025-07-22,Mumbai (BOM),Delhi (DEL),A21N (VT-ICF),0 days 01:37:00,06:00:00,06:08:00,07:55:00,07:45:00,2025-07-22 06:00:00,2025-07-22 06:08:00,2025-07-22 07:55:00,2025-07-22 07:45:00
,2025-07-21,Mumbai (BOM),Delhi (DEL),A21N (VT-NCR),0 days 01:36:00,06:00:00,06:10:00,07:55:00,07:45:00,2025-07-21 06:00:00,2025-07-21 06:10:00,2025-07-21 07:55:00,2025-07-21 07:45:00
,2025-07-20,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),0 days 01:40:00,06:00:00,06:02:00,07:55:00,07:42:00,2025-07-20 06:00:00,2025-07-20 06:02:00,2025-07-20 07:55:00,2025-07-20 07:42:00
,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-NCG),0 days 01:45:00,06:00:00,06:07:00,07:55:00,07:53:00,2025-07-19 06:00:00,2025-07-19 06:07:00,2025-07-19 07:55:00,2025-07-19 07:53:00
,2025-07-25,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAP),0 days 02:12:00,06:05:00,06:25:00,08:45:00,08:37:00,2025-07-25 06:05:00,2025-07-25 06:25:00,2025-07-25 08:45:00,2025-07-25 08:37:00
,2025-07-24,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAH),0 days 02:23:00,06:05:00,06:23:00,08:45:00,08:46:00,2025-07-24 06:05:00,2025-07-24 06:23:00,2025-07-24 08:45:00,2025-07-24 08:46:00
,2025-07-23,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAG),0 days 02:23:00,06:05:00,06:30:00,08:45:00,08:52:00,2025-07-23 06:05:00,2025-07-23 06:30:00,2025-07-23 08:45:00,2025-07-23 08:52:00
,2025-07-22,Mumbai (BOM),Srinagar (SXR),B38M (VT-YBE),0 days 02:19:00,06:05:00,06:18:00,08:45:00,08:37:00,2025-07-22 06:05:00,2025-07-22 06:18:00,2025-07-22 08:45:00,2025-07-22 08:37:00
,2025-07-21,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAF),0 days 02:27:00,06:05:00,06:29:00,08:45:00,08:56:00,2025-07-21 06:05:00,2025-07-21 06:29:00,2025-07-21 08:45:00,2025-07-21 08:56:00
,2025-07-20,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAI),0 days 02:17:00,06:05:00,06:15:00,08:45:00,08:33:00,2025-07-20 06:05:00,2025-07-20 06:15:00,2025-07-20 08:45:00,2025-07-20 08:33:00
,2025-07-19,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAA),0 days 02:11:00,06:05:00,06:16:00,08:45:00,08:27:00,2025-07-19 06:05:00,2025-07-19 06:16:00,2025-07-19 08:45:00,2025-07-19 08:27:00
,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),0 days 01:17:00,06:05:00,06:05:00,07:55:00,07:22:00,2025-07-25 06:05:00,2025-07-25 06:05:00,2025-07-25 07:55:00,2025-07-25 07:22:00
,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWS),0 days 01:26:00,06:05:00,06:12:00,07:55:00,07:38:00,2025-07-24 06:05:00,2025-07-24 06:12:00,2025-07-24 07:55:00,2025-07-24 07:38:00
,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWT),0 days 01:25:00,06:05:00,06:14:00,07:55:00,07:39:00,2025-07-23 06:05:00,2025-07-23 06:14:00,2025-07-23 07:55:00,2025-07-23 07:39:00
,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),0 days 01:21:00,06:05:00,06:16:00,07:55:00,07:37:00,2025-07-22 06:05:00,2025-07-22 06:16:00,2025-07-22 07:55:00,2025-07-22 07:37:00
,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCQ),0 days 01:19:00,06:05:00,06:03:00,07:55:00,07:22:00,2025-07-21 06:05:00,2025-07-21 06:03:00,2025-07-21 07:55:00,2025-07-21 07:22:00
,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCH),0 days 01:20:00,06:05:00,06:06:00,07:55:00,07:25:00,2025-07-20 06:05:00,2025-07-20 06:06:00,2025-07-20 07:55:00,2025-07-20 07:25:00
,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCB),0 days 01:11:00,06:05:00,06:10:00,07:55:00,07:21:00,2025-07-19 06:05:00,2025-07-19 06:10:00,2025-07-19 07:55:00,2025-07-19 07:21:00
,2025-07-25,Mumbai (BOM),Colombo (CMB),A20N (VT-IJZ),0 days 02:07:00,06:10:00,06:54:00,08:45:00,09:00:00,2025-07-25 06:10:00,2025-07-25 06:54:00,2025-07-25 08:45:00,2025-07-25 09:00:00
,2025-07-24,Mumbai (BOM),Colombo (CMB),A20N (VT-ITZ),0 days 02:02:00,06:10:00,06:34:00,08:45:00,08:36:00,2025-07-24 06:10:00,2025-07-24 06:34:00,2025-07-24 08:45:00,2025-07-24 08:36:00
,2025-07-23,Mumbai (BOM),Colombo (CMB),A20N (VT-IPU),0 days 02:06:00,06:10:00,07:31:00,08:45:00,09:37:00,2025-07-23 06:10:00,2025-07-23 07:31:00,2025-07-23 08:45:00,2025-07-23 09:37:00
,2025-07-22,Mumbai (BOM),Colombo (CMB),A20N (VT-IIQ),0 days 02:03:00,06:10:00,07:07:00,08:45:00,09:10:00,2025-07-22 06:10:00,2025-07-22 07:07:00,2025-07-22 08:45:00,2025-07-22 09:10:00
,2025-07-21,Mumbai (BOM),Colombo (CMB),A20N (VT-IQI),0 days 02:02:00,06:10:00,07:14:00,08:45:00,09:16:00,2025-07-21 06:10:00,2025-07-21 07:14:00,2025-07-21 08:45:00,2025-07-21 09:16:00
,2025-07-20,Mumbai (BOM),Colombo (CMB),A20N (VT-ITZ),0 days 02:04:00,06:10:00,06:52:00,08:45:00,08:55:00,2025-07-20 06:10:00,2025-07-20 06:52:00,2025-07-20 08:45:00,2025-07-20 08:55:00
,2025-07-19,Mumbai (BOM),Colombo (CMB),A20N (VT-IJY),0 days 02:20:00,06:10:00,06:28:00,08:45:00,08:48:00,2025-07-19 06:10:00,2025-07-19 06:28:00,2025-07-19 08:45:00,2025-07-19 08:48:00
,2025-07-24,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),0 days 01:04:00,06:10:00,06:13:00,07:45:00,07:17:00,2025-07-24 06:10:00,2025-07-24 06:13:00,2025-07-24 07:45:00,2025-07-24 07:17:00
,2025-07-23,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),0 days 01:04:00,06:10:00,06:25:00,07:45:00,07:29:00,2025-07-23 06:10:00,2025-07-23 06:25:00,2025-07-23 07:45:00,2025-07-23 07:29:00
,2025-07-22,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),0 days 01:05:00,06:10:00,06:17:00,07:45:00,07:22:00,2025-07-22 06:10:00,2025-07-22 06:17:00,2025-07-22 07:45:00,2025-07-22 07:22:00
,2025-07-21,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),0 days 01:09:00,06:10:00,06:30:00,07:45:00,07:40:00,2025-07-21 06:10:00,2025-07-21 06:30:00,2025-07-21 07:45:00,2025-07-21 07:40:00
,2025-07-20,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),0 days 01:06:00,06:10:00,06:09:00,07:45:00,07:15:00,2025-07-20 06:10:00,2025-07-20 06:09:00,2025-07-20 07:45:00,2025-07-20 07:15:00
,2025-07-19,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),0 days 01:05:00,06:10:00,06:19:00,07:45:00,07:24:00,2025-07-19 06:10:00,2025-07-19 06:19:00,2025-07-19 07:45:00,2025-07-19 07:24:00
,2025-07-25,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),0 days 01:41:00,06:15:00,06:27:00,08:25:00,08:09:00,2025-07-25 06:15:00,2025-07-25 06:27:00,2025-07-25 08:25:00,2025-07-25 08:09:00
,2025-07-24,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),0 days 01:46:00,06:15:00,06:22:00,08:25:00,08:08:00,2025-07-24 06:15:00,2025-07-24 06:22:00,2025-07-24 08:25:00,2025-07-24 08:08:00
,2025-07-23,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),0 days 01:49:00,06:15:00,06:37:00,08:25:00,08:26:00,2025-07-23 06:15:00,2025-07-23 06:37:00,2025-07-23 08:25:00,2025-07-23 08:26:00
,2025-07-22,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),0 days 01:39:00,06:15:00,06:11:00,08:25:00,07:49:00,2025-07-22 06:15:00,2025-07-22 06:11:00,2025-07-22 08:25:00,2025-07-22 07:49:00
,2025-07-21,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),0 days 01:38:00,06:15:00,06:13:00,08:25:00,07:52:00,2025-07-21 06:15:00,2025-07-21 06:13:00,2025-07-21 08:25:00,2025-07-21 07:52:00
,2025-07-20,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),0 days 01:40:00,06:15:00,05:59:00,08:25:00,07:39:00,2025-07-20 06:15:00,2025-07-20 05:59:00,2025-07-20 08:25:00,2025-07-20 07:39:00
,2025-07-19,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),0 days 01:39:00,06:15:00,06:18:00,08:25:00,07:57:00,2025-07-19 06:15:00,2025-07-19 06:18:00,2025-07-19 08:25:00,2025-07-19 07:57:00
,2025-07-25,Mumbai (BOM),Udaipur (UDR),A21N (VT-IMZ),0 days 01:03:00,06:15:00,06:31:00,07:40:00,07:34:00,2025-07-25 06:15:00,2025-07-25 06:31:00,2025-07-25 07:40:00,2025-07-25 07:34:00
,2025-07-24,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBW),0 days 01:07:00,06:15:00,06:24:00,07:40:00,07:32:00,2025-07-24 06:15:00,2025-07-24 06:24:00,2025-07-24 07:40:00,2025-07-24 07:32:00
,2025-07-23,Mumbai (BOM),Udaipur (UDR),A21N (VT-ICG),0 days 01:02:00,06:15:00,06:33:00,07:40:00,07:35:00,2025-07-23 06:15:00,2025-07-23 06:33:00,2025-07-23 07:40:00,2025-07-23 07:35:00
,2025-07-22,Mumbai (BOM),Udaipur (UDR),A21N (VT-ICO),0 days 01:00:00,06:15:00,06:22:00,07:40:00,07:22:00,2025-07-22 06:15:00,2025-07-22 06:22:00,2025-07-22 07:40:00,2025-07-22 07:22:00
,2025-07-21,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBO),0 days 01:05:00,06:15:00,06:31:00,07:40:00,07:36:00,2025-07-21 06:15:00,2025-07-21 06:31:00,2025-07-21 07:40:00,2025-07-21 07:36:00
,2025-07-20,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBY),0 days 01:05:00,06:15:00,06:21:00,07:40:00,07:26:00,2025-07-20 06:15:00,2025-07-20 06:21:00,2025-07-20 07:40:00,2025-07-20 07:26:00
,2025-07-19,Mumbai (BOM),Udaipur (UDR),A21N (VT-ILQ),0 days 01:03:00,06:15:00,06:24:00,07:40:00,07:27:00,2025-07-19 06:15:00,2025-07-19 06:24:00,2025-07-19 07:40:00,2025-07-19 07:27:00
,2025-07-25,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIU),0 days 00:47:00,06:20:00,06:36:00,07:40:00,07:23:00,2025-07-25 06:20:00,2025-07-25 06:36:00,2025-07-25 07:40:00,2025-07-25 07:23:00
,2025-07-24,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-ISM),0 days 00:55:00,06:20:00,06:19:00,07:40:00,07:15:00,2025-07-24 06:20:00,2025-07-24 06:19:00,2025-07-24 07:40:00,2025-07-24 07:15:00
,2025-07-23,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIE),0 days 00:48:00,06:20:00,06:35:00,07:40:00,07:23:00,2025-07-23 06:20:00,2025-07-23 06:35:00,2025-07-23 07:40:00,2025-07-23 07:23:00
,2025-07-22,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IJX),0 days 00:50:00,06:20:00,06:33:00,07:40:00,07:23:00,2025-07-22 06:20:00,2025-07-22 06:33:00,2025-07-22 07:40:00,2025-07-22 07:23:00
,2025-07-21,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IXN),0 days 00:50:00,06:20:00,06:50:00,07:40:00,07:40:00,2025-07-21 06:20:00,2025-07-21 06:50:00,2025-07-21 07:40:00,2025-07-21 07:40:00
,2025-07-20,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IZD),0 days 00:49:00,06:20:00,06:27:00,07:40:00,07:16:00,2025-07-20 06:20:00,2025-07-20 06:27:00,2025-07-20 07:40:00,2025-07-20 07:16:00
,2025-07-19,Mumbai (BOM),Ahmedabad (AMD),A320 (VT-IFV),0 days 00:49:00,06:20:00,06:31:00,07:40:00,07:20:00,2025-07-19 06:20:00,2025-07-19 06:31:00,2025-07-19 07:40:00,2025-07-19 07:20:00
,2025-07-25,Mumbai (BOM),Raipur (RPR),A21N (VT-IBU),0 days 01:32:00,06:20:00,06:29:00,08:15:00,08:01:00,2025-07-25 06:20:00,2025-07-25 06:29:00,2025-07-25 08:15:00,2025-07-25 08:01:00
,2025-07-24,Mumbai (BOM),Raipur (RPR),A21N (VT-IUO),0 days 01:33:00,06:20:00,06:33:00,08:15:00,08:06:00,2025-07-24 06:20:00,2025-07-24 06:33:00,2025-07-24 08:15:00,2025-07-24 08:06:00
,2025-07-23,Mumbai (BOM),Raipur (RPR),A21N (VT-IRY),0 days 01:31:00,06:20:00,06:40:00,08:15:00,08:11:00,2025-07-23 06:20:00,2025-07-23 06:40:00,2025-07-23 08:15:00,2025-07-23 08:11:00
,2025-07-22,Mumbai (BOM),Raipur (RPR),A21N (VT-IRZ),0 days 01:28:00,06:20:00,06:27:00,08:15:00,07:55:00,2025-07-22 06:20:00,2025-07-22 06:27:00,2025-07-22 08:15:00,2025-07-22 07:55:00
,2025-07-21,Mumbai (BOM),Raipur (RPR),A21N (VT-ICO),0 days 01:41:00,06:20:00,06:46:00,08:15:00,08:26:00,2025-07-21 06:20:00,2025-07-21 06:46:00,2025-07-21 08:15:00,2025-07-21 08:26:00
,2025-07-20,Mumbai (BOM),Raipur (RPR),A21N (VT-ICK),0 days 01:33:00,06:20:00,06:14:00,08:15:00,07:47:00,2025-07-20 06:20:00,2025-07-20 06:14:00,2025-07-20 08:15:00,2025-07-20 07:47:00
,2025-07-19,Mumbai (BOM),Raipur (RPR),A21N (VT-ICY),0 days 01:30:00,06:20:00,06:29:00,08:15:00,08:00:00,2025-07-19 06:20:00,2025-07-19 06:29:00,2025-07-19 08:15:00,2025-07-19 08:00:00
,2025-07-25,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),0 days 02:03:00,06:25:00,06:33:00,07:25:00,07:05:00,2025-07-25 06:25:00,2025-07-25 06:33:00,2025-07-25 07:25:00,2025-07-25 07:05:00
,2025-07-23,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),0 days 01:56:00,06:25:00,06:47:00,07:25:00,07:13:00,2025-07-23 06:25:00,2025-07-23 06:47:00,2025-07-23 07:25:00,2025-07-23 07:13:00
,2025-07-22,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVI),0 days 02:01:00,06:25:00,06:45:00,07:25:00,07:15:00,2025-07-22 06:25:00,2025-07-22 06:45:00,2025-07-22 07:25:00,2025-07-22 07:15:00
,2025-07-21,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),0 days 01:56:00,06:25:00,06:48:00,07:25:00,07:14:00,2025-07-21 06:25:00,2025-07-21 06:48:00,2025-07-21 07:25:00,2025-07-21 07:14:00
,2025-07-20,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),0 days 02:00:00,07:35:00,08:00:00,08:35:00,08:30:00,2025-07-20 07:35:00,2025-07-20 08:00:00,2025-07-20 08:35:00,2025-07-20 08:30:00
,2025-07-19,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVI),0 days 02:00:00,06:25:00,06:55:00,07:25:00,07:25:00,2025-07-19 06:25:00,2025-07-19 06:55:00,2025-07-19 07:25:00,2025-07-19 07:25:00
,2025-07-25,Mumbai (BOM),Chennai (MAA),A21N (VT-ICW),0 days 01:34:00,06:25:00,06:32:00,08:30:00,08:07:00,2025-07-25 06:25:00,2025-07-25 06:32:00,2025-07-25 08:30:00,2025-07-25 08:07:00
,2025-07-24,Mumbai (BOM),Chennai (MAA),A21N (VT-ILO),0 days 01:33:00,06:25:00,06:37:00,08:30:00,08:09:00,2025-07-24 06:25:00,2025-07-24 06:37:00,2025-07-24 08:30:00,2025-07-24 08:09:00
,2025-07-23,Mumbai (BOM),Chennai (MAA),A21N (VT-IML),0 days 01:38:00,06:25:00,06:44:00,08:30:00,08:22:00,2025-07-23 06:25:00,2025-07-23 06:44:00,2025-07-23 08:30:00,2025-07-23 08:22:00
,2025-07-22,Mumbai (BOM),Chennai (MAA),A21N (VT-ILG),0 days 01:31:00,06:25:00,06:32:00,08:30:00,08:03:00,2025-07-22 06:25:00,2025-07-22 06:32:00,2025-07-22 08:30:00,2025-07-22 08:03:00
,2025-07-21,Mumbai (BOM),Chennai (MAA),A21N (VT-IUO),0 days 01:34:00,06:25:00,06:43:00,08:30:00,08:17:00,2025-07-21 06:25:00,2025-07-21 06:43:00,2025-07-21 08:30:00,2025-07-21 08:17:00
,2025-07-20,Mumbai (BOM),Chennai (MAA),A21N (VT-ICG),0 days 01:34:00,06:25:00,06:25:00,08:30:00,07:58:00,2025-07-20 06:25:00,2025-07-20 06:25:00,2025-07-20 08:30:00,2025-07-20 07:58:00
,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-ICG),0 days 01:40:00,06:25:00,06:21:00,08:30:00,08:02:00,2025-07-19 06:25:00,2025-07-19 06:21:00,2025-07-19 08:30:00,2025-07-19 08:02:00
,2025-07-25,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),0 days 03:02:00,06:30:00,07:07:00,07:30:00,07:39:00,2025-07-25 06:30:00,2025-07-25 07:07:00,2025-07-25 07:30:00,2025-07-25 07:39:00
,2025-07-24,Mumbai (BOM),Bahrain (BAH),A21N (A9C-ND),0 days 02:55:00,06:30:00,06:25:00,07:30:00,06:50:00,2025-07-24 06:30:00,2025-07-24 06:25:00,2025-07-24 07:30:00,2025-07-24 06:50:00
,2025-07-23,Mumbai (BOM),Bahrain (BAH),A321 (A9C-CC),0 days 02:53:00,06:30:00,06:49:00,07:30:00,07:12:00,2025-07-23 06:30:00,2025-07-23 06:49:00,2025-07-23 07:30:00,2025-07-23 07:12:00
,2025-07-22,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),0 days 02:56:00,06:30:00,06:36:00,07:30:00,07:02:00,2025-07-22 06:30:00,2025-07-22 06:36:00,2025-07-22 07:30:00,2025-07-22 07:02:00
,2025-07-21,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),0 days 02:53:00,06:30:00,09:29:00,07:30:00,09:52:00,2025-07-21 06:30:00,2025-07-21 09:29:00,2025-07-21 07:30:00,2025-07-21 09:52:00
,2025-07-20,Mumbai (BOM),Bahrain (BAH),A21N (A9C-NA),0 days 02:59:00,06:30:00,06:24:00,07:30:00,06:53:00,2025-07-20 06:30:00,2025-07-20 06:24:00,2025-07-20 07:30:00,2025-07-20 06:53:00
,2025-07-19,Mumbai (BOM),Bahrain (BAH),A21N (A9C-NB),0 days 02:55:00,06:30:00,06:34:00,07:30:00,06:59:00,2025-07-19 06:30:00,2025-07-19 06:34:00,2025-07-19 07:30:00,2025-07-19 06:59:00
,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTX),0 days 01:17:00,06:35:00,06:39:00,08:30:00,07:56:00,2025-07-25 06:35:00,2025-07-25 06:39:00,2025-07-25 08:30:00,2025-07-25 07:56:00
,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTL),0 days 01:18:00,06:35:00,06:39:00,08:30:00,07:58:00,2025-07-24 06:35:00,2025-07-24 06:39:00,2025-07-24 08:30:00,2025-07-24 07:58:00
,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),0 days 01:23:00,06:35:00,06:45:00,08:30:00,08:08:00,2025-07-23 06:35:00,2025-07-23 06:45:00,2025-07-23 08:30:00,2025-07-23 08:08:00
,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),0 days 01:20:00,06:35:00,07:15:00,08:30:00,08:35:00,2025-07-22 06:35:00,2025-07-22 07:15:00,2025-07-22 08:30:00,2025-07-22 08:35:00
,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTK),0 days 01:17:00,06:35:00,06:49:00,08:30:00,08:06:00,2025-07-21 06:35:00,2025-07-21 06:49:00,2025-07-21 08:30:00,2025-07-21 08:06:00
,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),0 days 01:21:00,06:35:00,06:33:00,08:30:00,07:55:00,2025-07-20 06:35:00,2025-07-20 06:33:00,2025-07-20 08:30:00,2025-07-20 07:55:00
,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-EXQ),0 days 01:16:00,06:35:00,06:37:00,08:30:00,07:54:00,2025-07-19 06:35:00,2025-07-19 06:37:00,2025-07-19 08:30:00,2025-07-19 07:54:00
,2025-07-25,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXH),0 days 06:05:00,06:35:00,07:05:00,14:50:00,14:40:00,2025-07-25 06:35:00,2025-07-25 07:05:00,2025-07-25 14:50:00,2025-07-25 14:40:00
,2025-07-24,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXM),0 days 06:14:00,06:35:00,07:07:00,14:50:00,14:51:00,2025-07-24 06:35:00,2025-07-24 07:07:00,2025-07-24 14:50:00,2025-07-24 14:51:00
,2025-07-23,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXG),0 days 06:08:00,06:35:00,07:19:00,14:50:00,14:57:00,2025-07-23 06:35:00,2025-07-23 07:19:00,2025-07-23 14:50:00,2025-07-23 14:57:00
,2025-07-22,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXM),0 days 05:55:00,06:35:00,07:11:00,14:50:00,14:36:00,2025-07-22 06:35:00,2025-07-22 07:11:00,2025-07-22 14:50:00,2025-07-22 14:36:00
,2025-07-21,Mumbai (BOM),Jakarta (CGK),A20N (VT-IIX),0 days 06:11:00,06:35:00,07:11:00,14:50:00,14:51:00,2025-07-21 06:35:00,2025-07-21 07:11:00,2025-07-21 14:50:00,2025-07-21 14:51:00
,2025-07-20,Mumbai (BOM),Jakarta (CGK),A20N (VT-IIU),0 days 06:01:00,06:35:00,06:57:00,14:50:00,14:29:00,2025-07-20 06:35:00,2025-07-20 06:57:00,2025-07-20 14:50:00,2025-07-20 14:29:00
,2025-07-19,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXF),0 days 06:11:00,06:35:00,07:20:00,14:50:00,15:01:00,2025-07-19 06:35:00,2025-07-19 07:20:00,2025-07-19 14:50:00,2025-07-19 15:01:00
